file_name,north,south,west,east,file_direction
c-1917 f-102,3.897866,3.82623,-75.485576,-75.414435,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IB/c-1917+f-102.tif
m-1359 f-37742,3.895933,3.782592,-75.609847,-75.495726,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IB/m-1359+f-37742.tif
c-1857 f-226,3.833393,3.757011,-75.493241,-75.41702,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282ID/c-1857+f-226.tif
c-1857 f-230,3.774048,3.700776,-75.493584,-75.419676,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282ID/c-1857+f-230.tif
c-1891 f-074,3.761251,3.682682,-75.572058,-75.494188,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282ID/c-1891+f-074.tif
c-1891 f-076,3.812599,3.733343,-75.573669,-75.49385,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282ID/c-1891+f-076.tif
c-1891 f-084,3.774357,3.699487,-75.525374,-75.45036,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282ID/c-1891+f-084.tif
c-1917 f-092,3.84201,3.74445,-75.550132,-75.452436,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282ID/c-1917+f-092.tif
c-1917 f-100,3.8499,3.771036,-75.489812,-75.410808,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282ID/c-1917+f-100.tif
c-2070 f-264,3.810371,3.692012,-75.638772,-75.52185,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282ID/c-2070+f-264.tif
c-1857 f-162,3.845893,3.763757,-75.362777,-75.281536,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IIA/c-1857+f-162.tif
c-1857 f-188,3.865181,3.795893,-75.392986,-75.323319,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IIA/c-1857+f-188.tif
c-1857 f-208,3.852078,3.78329,-75.44238,-75.374159,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IIA/c-1857+f-208.tif
c-1974 f-142,3.88811,3.805724,-75.441342,-75.358844,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IIA/c-1974+f-142.tif
c-1857 f-160,3.800497,3.717804,-75.362712,-75.280168,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IIC/c-1857+f-160.tif
c-1857 f-190,3.825014,3.749752,-75.399912,-75.325588,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IIC/c-1857+f-190.tif
c-1857 f-192,3.778334,3.704049,-75.401583,-75.328213,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IIC/c-1857+f-192.tif
c-1857 f-204,3.766066,3.693066,-75.450607,-75.377843,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IIC/c-1857+f-204.tif
c-1857 f-206,3.810146,3.738315,-75.448398,-75.376569,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IIC/c-1857+f-206.tif
c-1841 f-016,3.800988,3.706525,-75.293077,-75.19911,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IID/c-1841+f-016.tif
c-1891 f-072,3.708942,3.627293,-75.573989,-75.492046,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IIIB/c-1891+f-072.tif
c-2070 f-262,3.726588,3.629198,-75.621103,-75.52451,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IIIB/c-2070+f-262.tif
c-1589 f-076,3.714805,3.58079,-75.411496,-75.277243,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IVA/c-1589+f-076.tif
c-1589 f-088,3.681152,3.55371,-75.327134,-75.200204,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IVA/c-1589+f-088.tif
c-1857 f-156,3.698153,3.617354,-75.357781,-75.276554,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IVA/c-1857+f-156.tif
c-1857 f-158,3.746196,3.667008,-75.359245,-75.280193,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IVA/c-1857+f-158.tif
c-1857 f-194,3.725316,3.655972,-75.40022,-75.331367,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IVA/c-1857+f-194.tif
c-1857 f-196,3.679404,3.602748,-75.403569,-75.325873,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IVA/c-1857+f-196.tif
c-1857 f-202,3.718282,3.648588,-75.449582,-75.380533,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IVA/c-1857+f-202.tif
c-1857 f-232,3.726108,3.654861,-75.493275,-75.421794,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IVA/c-1857+f-232.tif
c-1857 f-234,3.678934,3.60378,-75.495006,-75.419704,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IVA/c-1857+f-234.tif
c-1891 f-086,3.720313,3.644261,-75.524278,-75.448363,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IVA/c-1891+f-086.tif
c-1891 f-088,3.663365,3.586865,-75.523818,-75.447593,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IVA/c-1891+f-088.tif
c-2556 f-138,3.650609,3.525185,-75.514112,-75.388544,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/282IVA/c-2556+f-138..tif
C-2284_F-074,3.536911,3.438619,-75.603809,-75.47654,https://igac-bucket.s3.us-east-1.amazonaws.com/AEROFOTOGRAFIAS+_CHAPARRAL/302IB/C-2284_F-074.tif
