;imagen;toponimo;0;1;2;3;4;5;6;7;num_caract;image;lon_text;lat_text;PERCENTAGE;COINCIDENCE;category;type_cat
25;C-2070 F-252.jpg;OLEDAD;1498.0;590.0;1654.0;737.0;1624.0;771.0;1466.0;624.0;6;C-2070 F-252;-7.577.277.989.844.610;3.927.131.058.401.760;8.571.428.571.428.570;SOLEDAD;Quebrada;CATALOGO
26;C-2070 F-252.jpg;EL MIRADOR;1414.0;791.0;1598.0;791.0;1597.0;821.0;1414.0;820.0;10;C-2070 F-252;-7.577.563.222.786.400;39.198.735.221.304.900;100.0;EL MIRADOR;Sitio;CATALOGO
27;C-2070 F-252.jpg;STA CECILIA;1406.0;820.0;1633.0;820.0;1633.0;853.0;1406.0;852.0;11;C-2070 F-252;-7.577.590.387.828.470;3.918.826.414.907.270;8.461.538.461.538.460;SANTA CECILIA;Sitio;CATALOGO
28;C-2070 F-252.jpg;PARAMO;121.0;836.0;270.0;630.0;306.0;655.0;155.0;862.0;6;C-2070 F-252;-7.581.953.772.711.740;39.182.487.005.772.200;7.142.857.142.857.140;PARAÍSO;Vereda;CATALOGO
29;C-2070 F-252.jpg;EL MIRADORO;1377.0;876.0;1591.0;878.0;1591.0;918.0;1376.0;915.0;11;C-2070 F-252;-7.577.688.861.105.990;391.680.441.475.209;7.272.727.272.727.270;EL MILAGRO;Sitio;CATALOGO
30;C-2070 F-252.jpg;ABALCONES;1666.0;858.0;1859.0;869.0;1858.0;910.0;1663.0;899.0;9;C-2070 F-252;-7.576.707.523.961.040;39.174.543.433.733.900;8.888.888.888.888.880;BALCONES;Sitio;CATALOGO
31;C-2070 F-252.jpg;LA FLORIDA;1361.0;1029.0;1578.0;1037.0;1576.0;1079.0;1359.0;1068.0;10;C-2070 F-252;-7.577.743.191.190.140;3.911.280.021.470.960;100.0;LA FLORIDA;Vereda;CATALOGO
32;C-2070 F-252.jpg;QUEBRADA LEL RECODO;702.0;1099.0;1334.0;1075.0;1339.0;1164.0;706.0;1206.0;19;C-2070 F-252;-7.579.980.911.531.060;39.087.525.212.769.900;7.368.421.052.631.570;QUEBRADA DEL MEDIO;Sitio;CATALOGO
33;C-2070 F-252.jpg;QUEBRADA LA LEJIA;1577.0;1252.0;1943.0;1497.0;1918.0;1532.0;1557.0;1288.0;17;C-2070 F-252;-7.577.009.735.054.120;39.032.281.279.958.600;7.058.823.529.411.760;QUEBRADA VIEJA;Vereda;CATALOGO
34;C-2070 F-252.jpg;PTE LA LEJIN;1268.0;1291.0;1519.0;1292.0;1518.0;1344.0;1268.0;1337.0;12;C-2070 F-252;-757.805.898.480.427;3.901.819.949.316.360;58.333.333.333.333.300;;;
35;C-2070 F-252.jpg;LOS PINOS;1254.0;1396.0;1431.0;1399.0;1431.0;1439.0;1254.0;1435.0;9;C-2070 F-252;-7.578.106.523.627.890;38.980.286.990.254;7.777.777.777.777.770;LOS MICOS;Loma;CATALOGO
36;C-2070 F-252.jpg;EL GALLO;1473.0;1534.0;1550.0;1734.0;1508.0;1750.0;1435.0;1548.0;8;C-2070 F-252;-75.773.628.806.011;3.893.045.912.928.700;75.0;EL SALTO;Sitio;CATALOGO
37;C-2070 F-252.jpg;LOS PLANES;1042.0;1553.0;1272.0;1554.0;1272.0;1596.0;1042.0;1595.0;10;C-2070 F-252;-7.578.826.397.242.880;3.892.359.877.161.760;75.0;LOS VOLCANES;Alto;CATALOGO
38;C-2070 F-252.jpg;BOLIVIA;1112.0;1662.0;1253.0;1661.0;1253.0;1696.0;1112.0;1696.0;7;C-2070 F-252;-7.578.588.703.124.720;3.888.424.198.288.280;100.0;BOLIVIA;Quebrada;CATALOGO
39;M-1390 F-42286.jpg;LA LUISA;1379.0;187.0;1513.0;187.0;1513.0;225.0;1380.0;226.0;8;M-1390 F-42286;-7.575.850.835.175.980;39.684.335.204.030.500;75.0;LA LUNA;Sitio;CATALOGO
40;M-1390 F-42286.jpg;CHORRO ELY;1563.0;233.0;1708.0;210.0;1714.0;245.0;1567.0;263.0;10;M-1390 F-42286;-757.507.026.265.566;39.661.647.920.580.500;7.272.727.272.727.270;CHORRO SECO;Caño;CATALOGO
41;M-1390 F-42286.jpg;LA LUISA;1338.0;280.0;1502.0;386.0;1485.0;416.0;1324.0;309.0;8;M-1390 F-42286;-7.576.024.767.096.270;39.638.467.435.316.300;75.0;LA LUNA;Sitio;CATALOGO
42;M-1390 F-42286.jpg;LA ARABIAN;1366.0;457.0;1521.0;462.0;1519.0;503.0;1365.0;497.0;10;M-1390 F-42286;-757.590.598.432.144;3.955.117.071.421.510;90.0;LA ARABIA;Quebrada;CATALOGO
43;M-1390 F-42286.jpg;RIVERA;1562.0;487.0;1666.0;599.0;1645.0;620.0;1541.0;507.0;6;M-1390 F-42286;-7.575.074.504.897.610;3.953.637.465.979.120;100.0;RIVERA;Sitio;CATALOGO
44;M-1390 F-42286.jpg;FINLANDIA;1256.0;600.0;1399.0;597.0;1401.0;634.0;1258.0;640.0;9;M-1390 F-42286;-7.576.372.630.936.850;394.806.428.547.944;8.888.888.888.888.880;FILANDIA;Sitio;CATALOGO
45;M-1390 F-42286.jpg;LA SECRETA;1367.0;622.0;1533.0;619.0;1533.0;649.0;1368.0;652.0;10;M-1390 F-42286;-757.590.174.207.948;39.469.792.414.883.500;100.0;LA SECRETA;Quebrada;CATALOGO
46;M-1390 F-42286.jpg;LA SECRETA;1439.0;740.0;1605.0;738.0;1606.0;775.0;1439.0;778.0;10;M-1390 F-42286;-7.575.596.300.658.480;39.411.594.600.816.000;100.0;LA SECRETA;Quebrada;CATALOGO
47;M-1390 F-42286.jpg;ALTIVOS;1399.0;785.0;1582.0;785.0;1582.0;825.0;1399.0;826.0;7;M-1390 F-42286;-7.575.765.990.336.810;39.389.400.519.180.100;7.142.857.142.857.140;OLIVOS;Quebrada;CATALOGO
48;M-1390 F-42286.jpg;RIO AMOYA;1404.0;822.0;1645.0;836.0;1642.0;877.0;1403.0;861.0;9;M-1390 F-42286;-7.575.744.779.127.020;3.937.115.205.205.720;6.666.666.666.666.660;;;
49;M-1390 F-42286.jpg;PEATONAL;1668.0;863.0;1783.0;864.0;1783.0;895.0;1668.0;894.0;8;M-1390 F-42286;-7.574.624.827.250.040;3.935.093.077.767.780;75.0;PAJONAL;Filo;CATALOGO
50;M-1390 F-42286.jpg;MARSELLA;1362.0;906.0;1494.0;901.0;1495.0;931.0;1363.0;935.0;8;M-1390 F-42286;-7.575.922.953.289.270;39.329.723.099.670.200;87.5;MARCELLA;Sitio;CATALOGO
51;M-1390 F-42286.jpg;LA RIVERA;1535.0;896.0;1666.0;890.0;1667.0;927.0;1537.0;933.0;9;M-1390 F-42286;-757.518.904.543.049;3.933.465.511.781.150;75.0;LA PRIMAVERA;Sitio;CATALOGO
52;M-1390 F-42288.jpg;RIO CUCUANITA;1845.0;160.0;1864.0;339.0;1834.0;341.0;1812.0;163.0;13;M-1390 F-42288;1.581.023.592.822.330;11.110.220.131.461.100;6.923.076.923.076.920;;;
53;M-1390 F-42288.jpg;RIVERA;1149.0;376.0;1195.0;240.0;1236.0;254.0;1185.0;388.0;6;M-1390 F-42288;9.835.294.205.251.140;10.176.578.560.052.200;100.0;RIVERA;Sitio;CATALOGO
54;M-1390 F-42288.jpg;LAGUNA LAS DANTAS;1556.0;405.0;1807.0;403.0;1807.0;434.0;1556.0;438.0;17;M-1390 F-42288;133.292.615.633.685;10.051.228.534.261.100;7.058.823.529.411.760;LAGUNA LOS TUTOS;Sitio;CATALOGO
55;M-1390 F-42288.jpg;LAGUNA LA CRISTALINA;1000.0;1323.0;1287.0;1315.0;1288.0;1347.0;1001.0;1354.0;20;M-1390 F-42288;8.556.175.934.097.610;6.083.251.855.773.290;75.0;CAMPO LA CRISTALINA;Sitio;CATALOGO
56;M-1390 F-42288.jpg;TRES ESTRELLAS;1265.0;1657.0;1219.0;1463.0;1256.0;1455.0;1307.0;1648.0;14;M-1390 F-42288;10.831.117.825.746.500;4.639.565.351.835.420;100.0;TRES ESTRELLAS;Sitio;CATALOGO
57;M-1390 F-42288.jpg;VILLANUEVA CAMPO SOLO;1324.0;1684.0;1591.0;1553.0;1608.0;1616.0;1357.0;1717.0;21;M-1390 F-42288;11.337.614.322.377.700;4.522.860.155.409.310;61.904.761.904.761.900;;;
58;M-1390 F-42288.jpg;LA RIVERA;1128.0;1765.0;1308.0;1702.0;1316.0;1724.0;1137.0;1795.0;9;M-1390 F-42288;965.501.579.119.595;4.172.744.566.130.960;75.0;LA PRIMAVERA;Sitio;CATALOGO
59;M-1390 F-42288.jpg;CHORRO EL SALTO;1626.0;1812.0;1737.0;1635.0;1765.0;1651.0;1653.0;1829.0;15;M-1390 F-42288;1.393.018.961.021.910;3.969.591.076.055.870;7.333.333.333.333.330;CHORRO EL CHUPO;Sitio;CATALOGO
60;M-1390 F-42290.jpg;JUNTAS;373.0;388.0;520.0;399.0;517.0;436.0;370.0;429.0;6;M-1390 F-42290;-7.576.423.583.759.350;409.326.767.407.056;100.0;JUNTAS;Sitio;CATALOGO
61;M-1390 F-42290.jpg;CUCHY LLA;772.0;401.0;850.0;665.0;804.0;675.0;728.0;414.0;9;M-1390 F-42290;-7.574.875.821.872.550;40.926.940.181.215.700;7.777.777.777.777.770;CUCHILLA;Sitio;CATALOGO
62;M-1390 F-42290.jpg;RID CUCUANA;1138.0;551.0;1471.0;306.0;1497.0;339.0;1163.0;587.0;11;M-1390 F-42290;-7.573.456.070.367.360;4.086.074.911.017.860;7.272.727.272.727.270;LA CUCUANA;Sitio;CATALOGO
63;M-1390 F-42290.jpg;YERBA BUENA;949.0;760.0;1259.0;613.0;1278.0;652.0;967.0;799.0;11;M-1390 F-42290;-7.574.189.220.734.790;4.076.852.288.453.370;909.090.909.090.909;YERBABUENA;Sitio;CATALOGO
64;M-1390 F-42290.jpg;LAGUNA;1541.0;983.0;1677.0;984.0;1677.0;1017.0;1541.0;1016.0;6;M-1390 F-42290;-7.571.892.792.070.660;40.670.118.825.592.000;7.142.857.142.857.140;LA LUNA;Sitio;CATALOGO
65;M-1390 F-42290.jpg;EL OASIS;1539.0;1014.0;1683.0;1012.0;1684.0;1041.0;1540.0;1043.0;8;M-1390 F-42290;-7.571.900.550.275.600;406.564.393.375.777;100.0;EL OASIS;Sitio;CATALOGO
66;M-1390 F-42290.jpg;LAGUNA LAS GARZAS;1164.0;1105.0;1472.0;1104.0;1473.0;1145.0;1164.0;1146.0;17;M-1390 F-42290;-7.573.355.213.703.050;4.061.628.342.114.850;7.058.823.529.411.760;LAGUNA LA TRAGA;Sitio;CATALOGO
67;M-1390 F-42290.jpg;BARRAGAN;120.0;1212.0;256.0;1173.0;263.0;1200.0;126.0;1241.0;8;M-1390 F-42290;-757.740.499.668.508;4.056.906.712.380.880;87.5;BARRAGÁN;Sitio;CATALOGO
68;M-1390 F-42290.jpg;GUAYABAL;234.0;1340.0;620.0;1340.0;621.0;1395.0;235.0;1397.0;8;M-1390 F-42290;-7.576.962.779.003.130;4.051.258.407.652.380;100.0;GUAYABAL;Vereda;CATALOGO
69;M-1390 F-42290.jpg;CERRO EL ORINOCO;1478.0;1526.0;1729.0;1321.0;1751.0;1343.0;1498.0;1552.0;16;M-1390 F-42290;-7.572.137.175.526.470;4.043.050.714.843.790;68.75;;;
70;C-2071 F-006.jpg;PORTUGAL;565.0;469.0;716.0;469.0;715.0;502.0;565.0;501.0;8;C-2071 F-006;-756.541.965.468.385;3.980.501.902.687.160;75.0;TORTUGAS;Vereda;CATALOGO
71;C-2071 F-006.jpg;LA CUMBRE;1520.0;451.0;1715.0;451.0;1715.0;483.0;1520.0;484.0;9;C-2071 F-006;-756.226.474.618.583;3.981.090.599.966.730;100.0;LA CUMBRE;Sitio;CATALOGO
72;C-2071 F-006.jpg;MANZANILLALO PALMARI;1921.0;444.0;2115.0;849.0;2063.0;863.0;1896.0;469.0;20;C-2071 F-006;-7.560.940.014.973.570;39.813.195.377.976.700;5.500.000.000.000.000;;;
73;C-2071 F-006.jpg;ZBKT BABL;443.0;455.0;446.0;689.0;393.0;690.0;392.0;455.0;9;C-2071 F-006;-7.565.822.690.115.010;39.809.597.783.490.500;4.545.454.545.454.540;;;
74;C-2071 F-006.jpg;SENVIO;1279.0;471.0;1220.0;609.0;1189.0;595.0;1247.0;457.0;6;C-2071 F-006;-756.306.090.634.083;39.804.364.918.783.200;7.142.857.142.857.140;ASENCIO;Vereda;CATALOGO
75;C-2071 F-006.jpg;LOS PLANES;978.0;486.0;1179.0;492.0;1178.0;539.0;976.0;533.0;10;C-2071 F-006;-75.640.552.806.423;3.979.945.910.812.020;75.0;LOS VOLCANES;Alto;CATALOGO
76;C-2071 F-006.jpg;LA ESTRELLA;1327.0;493.0;1526.0;485.0;1527.0;520.0;1328.0;527.0;11;C-2071 F-006;-7.562.902.335.023.650;397.971.697.298.108;100.0;LA ESTRELLA;Chorro;CATALOGO
77;C-2071 F-006.jpg;CUCUANITA;709.0;544.0;908.0;396.0;933.0;433.0;730.0;579.0;9;C-2071 F-006;-7.564.943.940.732.310;39.780.489.973.556.400;7.777.777.777.777.770;CUCAITA;Vereda;CATALOGO
78;C-2071 F-006.jpg;CARRIZALES;1019.0;1887.0;1299.0;1897.0;1296.0;1939.0;1017.0;1925.0;10;C-2071 F-006;-7.563.919.834.308.870;39.341.256.392.191.100;7.272.727.272.727.270;CARRIZALITO;Vereda;CATALOGO
79;C-2071 F-006.jpg;LA SELVA;1760.0;699.0;1902.0;686.0;1905.0;734.0;1766.0;747.0;8;C-2071 F-006;-7.561.471.889.599.940;3.972.979.659.670.480;75.0;LA SENDA;Cuchilla;CATALOGO
80;C-2071 F-006.jpg;JEBRADA;823.0;739.0;953.0;987.0;924.0;1000.0;796.0;754.0;7;C-2071 F-006;-756.456.733.385.402;3.971.671.443.493.670;75.0;QUEBRADA;Ciénaga;CATALOGO
81;C-2071 F-006.jpg;VALLES DE NORMANDIA;1408.0;918.0;1795.0;931.0;1794.0;972.0;1407.0;958.0;19;C-2071 F-006;-7.562.634.745.925.910;39.658.171.761.024.300;5.789.473.684.210.520;;;
82;C-2071 F-006.jpg;AAT PONTS;1853.0;904.0;2068.0;911.0;2067.0;951.0;1853.0;946.0;9;C-2071 F-006;-756.116.465.767.291;39.662.750.517.643.100;60.0;;;
83;C-2071 F-006.jpg;QUEBRADA SAN JOSE;226.0;1197.0;589.0;1352.0;567.0;1431.0;196.0;1238.0;17;C-2071 F-006;-7.566.539.564.611.420;39.566.923.682.691.500;7.894.736.842.105.260;QUIEBRA DE SAN JOSÉ;Sitio;CATALOGO
84;C-2071 F-006.jpg;LAGUNA;1444.0;1805.0;1564.0;1805.0;1564.0;1835.0;1444.0;1835.0;6;C-2071 F-006;-7.562.515.817.438.020;3.936.807.482.381.580;7.142.857.142.857.140;LA LUNA;Sitio;CATALOGO
85;C-2071 F-006.jpg;NORMANDIA;1456.0;1838.0;1608.0;1834.0;1609.0;1865.0;1456.0;1868.0;9;C-2071 F-006;-7.562.476.174.608.730;3.935.728.204.035.710;8.888.888.888.888.880;NORMANDÍA;Sitio;CATALOGO
86;C-2071 F-006.jpg;PARAMO;702.0;1880.0;864.0;1889.0;862.0;1921.0;700.0;1911.0;6;C-2071 F-006;-7.564.967.065.716.070;39.343.545.770.500.500;7.142.857.142.857.140;PARAÍSO;Vereda;CATALOGO
87;C-2071 F-008.jpg;PARAMO CARIZ ZALES;636.0;436.0;919.0;437.0;919.0;468.0;635.0;466.0;18;C-2071 F-008;-7.565.421.315.272.210;392.961.832.354.388;5.555.555.555.555.550;;;
88;C-2071 F-008.jpg;OZIESJ BASEW;70.0;768.0;90.0;1215.0;39.0;1218.0;26.0;770.0;12;C-2071 F-008;-7.567.581.279.908.050;39.176.511.514.993.100;4.166.666.666.666.660;;;
89;C-2071 F-008.jpg;QUEBRADA;127.0;1150.0;171.0;1335.0;141.0;1337.0;96.0;1154.0;8;C-2071 F-008;-75.673.637.569.677;3.903.881.694.508.270;7.272.727.272.727.270;QUEBRADITAS;Vereda;CATALOGO
90;C-2071 F-008.jpg;LAS ABRAS;129.0;1283.0;283.0;1284.0;283.0;1313.0;129.0;1313.0;9;C-2071 F-008;-7.567.356.124.583.820;38.990.876.165.506.600;7.777.777.777.777.770;LAS VARAS;Quebrada;CATALOGO
91;C-2071 F-008.jpg;EL QUEBRADON;512.0;1269.0;679.0;978.0;713.0;996.0;543.0;1287.0;12;C-2071 F-008;-7.565.894.523.072.290;38.995.922.563.356.700;75.0;EL QUEMADO;Quebrada;CATALOGO
92;C-2071 F-008.jpg;AS ABRAS;146.0;1348.0;157.0;1485.0;129.0;1488.0;118.0;1350.0;8;C-2071 F-008;-7.567.291.249.320.910;38.967.446.461.202.500;80.0;LAS CABRAS;Quebrada;CATALOGO
93;C-2071 F-008.jpg;LAS VILLAS;174.0;1369.0;287.0;1370.0;287.0;1392.0;174.0;1391.0;10;C-2071 F-008;-7.567.184.395.946.700;38.959.876.864.427.300;80.0;LAS VIGAS;Quebrada;CATALOGO
94;C-2071 F-008.jpg;VILLAS;274.0;1379.0;307.0;1262.0;340.0;1271.0;306.0;1388.0;6;C-2071 F-008;-7.566.802.776.753.090;38.956.272.294.534.400;75.0;VILLEGAS;Sitio;CATALOGO
95;C-2071 F-008.jpg;LA CUMBRE;320.0;1433.0;493.0;1426.0;495.0;1461.0;321.0;1467.0;9;C-2071 F-008;-7.566.627.231.924.020;3.893.680.761.711.250;100.0;LA CUMBRE;Sitio;CATALOGO
96;C-2071 F-008.jpg;LATRIBUNE;531.0;1460.0;705.0;1449.0;706.0;1484.0;533.0;1494.0;9;C-2071 F-008;-7.565.822.015.425.500;38.927.075.278.401.500;80.0;LA TRIBUNA;Sitio;CATALOGO
97;C-2071 F-008.jpg;LA ESTACIONY;238.0;1538.0;423.0;1531.0;425.0;1566.0;238.0;1575.0;12;C-2071 F-008;-756.694.015.966.279;38.898.959.633.236.600;8.333.333.333.333.330;LA ESTACIÓN;Sitio;CATALOGO
98;C-2071 F-008.jpg;EL CAIRO;245.0;1623.0;371.0;1620.0;371.0;1646.0;246.0;1649.0;8;C-2071 F-008;-7.566.913.446.319.230;38.868.320.789.146.600;75.0;EL CAÍDO;Alto;CATALOGO
99;C-2071 F-008.jpg;TAMOYA;255.0;1629.0;347.0;1802.0;328.0;1815.0;218.0;1640.0;6;C-2071 F-008;-7.566.875.284.399.870;3.886.615.804.721.080;7.142.857.142.857.140;CAMBOYA;Sitio;CATALOGO
100;C-2071 F-008.jpg;SANTA INES;368.0;1682.0;521.0;1666.0;526.0;1706.0;371.0;1720.0;10;C-2071 F-008;-7.566.444.054.711.090;3.884.705.382.677.820;90.0;SANTA INÉS;Sitio;CATALOGO
101;C-2071 F-008.jpg;BALSORA;903.0;1687.0;1037.0;1686.0;1038.0;1717.0;903.0;1718.0;7;C-2071 F-008;-7.564.402.392.025.260;38.845.251.541.831.800;7.142.857.142.857.140;BALOMA;Caño;CATALOGO
102;C-2071 F-008.jpg;QUEBRAISSA EL DELEITE;377.0;1758.0;716.0;1590.0;740.0;1626.0;395.0;1806.0;21;C-2071 F-008;-7.566.409.708.983.660;38.819.659.095.591.900;61.904.761.904.761.900;;;
103;C-2071 F-008.jpg;NORMANDIA;479.0;1782.0;653.0;1766.0;656.0;1806.0;481.0;1816.0;9;C-2071 F-008;-7.566.020.457.406.180;38.811.008.127.848.800;8.888.888.888.888.880;NORMANDÍA;Sitio;CATALOGO
104;C-2071 F-008.jpg;MARAVELES;865.0;1778.0;1020.0;1779.0;1020.0;1813.0;865.0;1811.0;9;C-2071 F-008;-7.564.547.407.318.840;3.881.244.995.580.600;8.888.888.888.888.880;MARABELES;Sitio;CATALOGO
105;C-2071 F-008.jpg;PE ARANDA;1691.0;1776.0;1874.0;1776.0;1874.0;1817.0;1690.0;1815.0;9;C-2071 F-008;-7.561.395.232.779.600;3.881.317.086.978.460;8.888.888.888.888.880;PEÑARANDA;Vereda;CATALOGO
106;C-2071 F-008.jpg;MANZANARES;1105.0;1828.0;1274.0;1814.0;1277.0;1845.0;1106.0;1858.0;10;C-2071 F-008;-7.563.631.521.254.170;38.794.427.106.341.300;100.0;MANZANARES;Sitio;CATALOGO
107;C-2071 F-008.jpg;LAS DELICIAS DELICIAS;342.0;1888.0;653.0;1826.0;659.0;1866.0;349.0;1922.0;21;C-2071 F-008;-7.566.543.275.701.430;38.772.799.686.983.600;68.0;;;
108;C-2071 F-008.jpg;EL ROCIO;617.0;1882.0;754.0;1868.0;757.0;1901.0;621.0;1917.0;8;C-2071 F-008;-7.565.493.822.919.000;38.774.962.428.919.400;75.0;EL COCO;Caño;CATALOGO
